Titulo,Compañia,Experiencia,Salario,Ubicacion,Fecha,Requisitos
PMO Banca,Talan,8,Sin informacion,Madrid,24-12-2022,"['Blockchain', 'IoT', 'Agile']"
Responsable Comercial Academy,PUE,3,Sin informacion,Madrid,23-12-2022,"['CRM', 'Salesforce']"
Inside Sales,PUE,2,Sin informacion,Barcelona,23-12-2022,"['CRM', 'Salesforce']"
Corporate Compensation and Benefits Manager,Palladium Hotel Group,Sin informacion,Sin informacion,Madrid,22-12-2022,"['C', 'SAP']"
Planificador/a de medios,DOMINGO ALONSO GROUP,1,Sin informacion,Las Palmas,22-12-2022,['Redes']
Java Developer,Garaje de ideas,Sin informacion,500€,Asturias,22-12-2022,"['API', 'Java', 'Spring', 'REST', 'Bases de Datos']"
Security Specialist - Ciberseguridad,Talan,5,Sin informacion,Málaga,20-12-2022,"['Access', 'Docker', 'Kubernetes', 'Blockchain', 'IoT', 'Agile']"
Data Architect,SoftwareONE,4,Sin informacion,Madrid,08-12-2022,"['Adobe', 'Next', 'Python', 'SQL', 'Tensorflow', 'Apache', 'Citrix', 'Red Hat', 'Oracle', 'BBDD', 'AWS', 'VMware', 'Hadoop', 'Spark', 'Business Intelligence', 'ETL', 'Tableau']"
Digital Analyst,Garaje de ideas,Sin informacion,500€,Asturias,15-12-2022,"['Adobe', 'Reports', 'BI']"
Digital Analyst,Garaje de ideas,Sin informacion,500€,Asturias,15-12-2022,"['Adobe', 'Reports', 'BI']"
CRO & Data Analyst,Garaje de ideas,3,500€,Asturias,14-12-2022,"['Adobe', 'Tableau']"
Data Engineer,"Lantek Sheet Metal Solutions, S.L.U.",5,Sin informacion,Sin informacion,08-12-2022,"['C', 'Java', 'Python', 'R', 'Scala', 'SQL', 'Almacenamiento', 'Bases de Datos', 'AWS', 'Hadoop', 'Spark', 'Business Intelligence', 'ETL', 'SSIS']"
QA Engineer,Garaje de ideas,Sin informacion,500€,Teletrabajo,08-12-2022,"['Java', 'TypeScript', 'REST', 'JIRA']"
SGTO Málaga - Full Stack Developer,Santander,Sin informacion,Sin informacion,Málaga,08-12-2022,"['Angular', 'Java', 'Spring', 'Node', 'React', 'Vue', 'MySQL', 'Kubernetes', 'Blockchain', 'Agile']"
Métrica Clientes,Santander,1,Sin informacion,Madrid,08-12-2022,"['Python', 'SQL']"
Analista de Riesgos- Seguimiento de Canales,Santander,Sin informacion,Sin informacion,Madrid,08-12-2022,"['Bases de Datos', 'BI']"
Technology Service Manager - Ciberseguridad,Talan,3,Sin informacion,Málaga,08-12-2022,"['Blockchain', 'IoT', 'Agile']"
RPA - Workfusion Developer,Talan,Sin informacion,Sin informacion,Madrid,08-12-2022,"['C', 'HTML', 'Java', 'JavaScript', 'Python', 'RPA', 'Ruby', 'Blockchain', 'IoT', 'Agile']"
Desarrollador De Funciones Avanzadas,Randstad Spain,Sin informacion,Sin informacion,Madrid,08-12-2022,"['Java', 'R']"
Product Designer,Garaje de ideas,3,500€,Madrid,08-12-2022,['Sketch']
CTO - Tech Lead,Sabina Divosi,Sin informacion,Sin informacion,Barcelona,08-12-2022,"['Angular', 'HTML5', 'JavaScript', 'Node', 'PHP', 'Python']"
DevOps (Banca),Common Management Solutions,3,Sin informacion,Madrid,08-12-2022,"['Angular', 'C', 'Java', 'React', 'Kotlin', 'MySQL', 'Natural', 'Python', 'Shell', 'MongoDB', 'Redis', 'Linux', 'Oracle', 'Bases de Datos', 'AWS', 'Unix', 'GIT', 'Jenkins', 'Docker', 'Hadoop', 'Kafka', 'Agile', 'Scrum']"
Head of Ecommerce,Garaje de ideas,Sin informacion,500€,Asturias,08-12-2022,"['Agile', 'Scrum']"
Analista Pagos Internacionales SWIFT,Winning,Sin informacion,Sin informacion,Madrid,08-12-2022,"['C', 'Swift']"
Data Engineer,atmira,Sin informacion,Sin informacion,Madrid,08-12-2022,"['Flex', 'JSON', 'Python', 'Django', 'SQL', 'Apache', 'Tiempo Real', 'MongoDB', 'SQL Server', 'Bases de Datos', 'GIT', 'Hadoop', 'Kafka', 'Spark', 'ETL', 'Datawarehouse']"
8.1 Prácticas en IT - Iberia End User Experience,Schneider Electric,Sin informacion,900€,Barcelona,08-12-2022,"['R', 'IoT']"
Key Account Manager Marketplace,Leroy Merlin España,6,Sin informacion,Madrid,23-12-2022,[]
Flex Consultant,Jones Lang LaSalle Incorporated,Sin informacion,Sin informacion,Barcelona,23-12-2022,"['Core', 'Flex', 'Spark']"
P&DS Business Management,Jones Lang LaSalle Incorporated,Sin informacion,Sin informacion,Madrid,23-12-2022,"['Core', 'Spark', 'CRM', 'BI', 'Tableau']"
"Senior Analyst, Process Management, Capital Markets",Jones Lang LaSalle Incorporated,6,Sin informacion,Madrid,19-12-2022,"['Core', 'Python', 'SQL', 'Bases de Datos', 'Spark']"
Senior Scientist – Biomedical Knowledge Discovery and Data Mining,Bristol Myers Squibb Careers,2,Sin informacion,Sevilla,02-01-2023,"['D3', 'Natural', 'Reports', 'Python', 'R', 'Tensorflow', 'AWS', 'EDGE']"
Research Associate on Biological Data science (ref. PD/22/36),IRB Barcelona,Sin informacion,Sin informacion,Barcelona,17-12-2022,"['Core', 'Python', 'Tensorflow', 'Access', 'EDGE', 'Docker']"
Data Science Manager,Madbox,7,Sin informacion,Barcelona,08-12-2022,"['Core', 'Next', 'Python', 'SQL', 'EDGE']"
Senior Network Analyst - International Markets,Cigna,4,Sin informacion,Madrid,06-01-2023,"['C', 'Next', 'Python', 'SQL', 'Tableau']"
DevOps Engineer,Underwriting Solutions,Sin informacion,Sin informacion,Málaga,05-01-2023,"['API', 'HTML', 'Maven', 'NUnit', 'Python', 'R', 'REST', 'XML', 'IIS', 'Linux', 'AWS', 'GIT', 'Docker', 'Windows']"
Senior Data Scientist,"Liberty Latin America Communications, Inc.",8,Sin informacion,Sin informacion,29-12-2022,['Reports']
Business Development Representative,AirDNA,Sin informacion,Sin informacion,Barcelona,07-01-2023,"['Next', 'Reports', 'Business Intelligence']"
Big Data Engineer – Lisbon/Portugal – Relocation support/package offered,Talent 4.0,3,Sin informacion,Madrid,08-12-2022,"['Java', 'Python', 'Scala', 'SQL', 'AWS', 'Hadoop', 'Kafka', 'Spark']"
"Software Engineer, Backend (Remote, Spain)",Dexma,Sin informacion,Sin informacion,Sin informacion,06-01-2023,"['Java', 'JavaScript', 'React', 'Kotlin', 'Python', 'Scala', 'Kubernetes', 'Agile']"
Junior Change Manager - Italian,Nextail,3,Sin informacion,Madrid,22-12-2022,"['Python', 'R', 'SQL', 'Agile']"
Antipiracy Analyst,Red Points,1,Sin informacion,Barcelona,05-01-2023,"['Reports', 'R', 'Access']"
"Data Analyst - Finance, People & Strategy (m/f/d)",FREE NOW,3,Sin informacion,Barcelona,07-01-2023,"['Next', 'Reports', 'Python', 'SQL', 'Access', 'ETL', 'Tableau']"
Data Scientist,Version 1,Sin informacion,Sin informacion,Málaga,08-12-2022,"['Natural', 'Python', 'Oracle', 'AWS', 'IoT']"
"Manager, Business Development",MasterCard,6,Sin informacion,Madrid,06-01-2023,"['Access', 'EDGE']"
"Data Strategic Cloud Engineer, Professional Services (English, Spanish)",Google,Sin informacion,Sin informacion,Madrid,13-12-2022,"['C', 'Go', 'Java', 'JavaScript', 'Python', 'Switch', 'Google Cloud Platform', 'EDGE', 'ETL']"
Junior Customer Success Engineer,Dexma,1,Sin informacion,Sin informacion,06-01-2023,"['C', 'MS Office']"
Internship program: Change Manager,Nextail,Sin informacion,Sin informacion,Madrid,21-12-2022,"['SQL', 'Agile']"
Senior Scientist – Biomedical Knowledge Discovery and Data Mining,Bristol Myers Squibb,2,Sin informacion,Sevilla,08-12-2022,"['D3', 'Natural', 'Reports', 'Python', 'R', 'Tensorflow', 'AWS', 'EDGE']"
"Data Scientist, Madrid",Thetaray,2,Sin informacion,Madrid,08-12-2022,"['Cycle', 'Core', 'Python', 'Linux']"
Data Architect,Talan,5,Sin informacion,Málaga,31-12-2022,"['Angular', 'C', 'Python', 'GIT', 'Blockchain', 'IoT', 'Agile']"
Data Scientist - Print,Indicia Worldwide,Sin informacion,Sin informacion,Asturias,08-12-2022,"['Java', 'MySQL', 'Python', 'R', 'SQL', 'AWS', 'GIT', 'SVN', 'Agile']"
Enforcement Agent Trainee,Smart Protection,Sin informacion,Sin informacion,Madrid,05-01-2023,['Agile']
Senior Data Scientist,Rhams Talent,8,Sin informacion,Madrid,08-12-2022,"['Python', 'R', 'SQL', 'Tensorflow', 'Hadoop', 'Spark', 'ETL']"
Backend Engineer,Nextail,Sin informacion,Sin informacion,Madrid,09-12-2022,"['In Design', 'Java', 'Next', 'Python', 'REST', 'EDGE', 'Agile', 'Basis']"
Junior Data Scientist,Medida,Sin informacion,Sin informacion,Sin informacion,08-12-2022,"['Reports', 'Python', 'R', 'REST', 'SQL', 'GIT', 'JIRA', 'Agile', 'Scrum']"
Data Engineer,Auctane Careers,Sin informacion,66.000€,Barcelona,08-12-2022,"['MEAN', 'Python', 'SQL', 'Apache', 'Linux', 'AWS', 'Jenkins', 'Windows', 'Spark', 'Business Intelligence', 'BI', 'Tableau']"
Data Engineer,WebBeds,2,Sin informacion,Sin informacion,03-01-2023,"['Core', 'API', 'Next', 'Express', 'SQL', 'EDGE', 'Business Intelligence', 'ERP']"
QA Automation Engineer (mid-level),Specialty Business Solutions,3,Sin informacion,Málaga,08-12-2022,"['Core', 'Angular', 'API', 'C', 'HTML', 'React', 'TypeScript', 'JMeter', 'R', 'REST', 'SQL', 'Access', 'SQL Server', 'SOAP', 'Selenium', 'AWS', 'Docker']"
Global HRIS and Reporting Analyst,AECOM,5,Sin informacion,Madrid,15-12-2022,"['Reports', 'Access', 'MS Office', 'Oracle']"
Senior Full Stack Software Engineer,Scaled Robotics,3,Sin informacion,Barcelona,08-12-2022,"['MERN', 'Amplify', 'Next', 'React', 'Redux', 'TypeScript', 'NoSQL', 'Python', 'REST', 'MongoDB', 'Linux', 'AWS', 'EDGE', 'Docker']"
Cloud Full Stack Developer,RavenPack,Sin informacion,Sin informacion,Sin informacion,08-12-2022,"['Amplify', 'Core', 'API', 'CSS', 'HTML', 'Java', 'JavaScript', 'Next', 'Nodejs', 'React', 'Python', 'R', 'SQL', 'AWS', 'Jenkins', 'Agile', 'Basis']"
Tech Support Developer (mid-level),Specialty Business Solutions,Sin informacion,Sin informacion,Málaga,08-12-2022,"['Core', 'HTML', 'R']"
(Senior) Software Engineer - Java (m/f/*),Ultra Tendency International GmbH,3,Sin informacion,Sin informacion,08-12-2022,"['Java', 'Springboot', 'Scala', 'Access', 'EDGE', 'Kafka', 'Agile']"
Business Controller,Evolution,Sin informacion,Sin informacion,Madrid,08-12-2022,"['Cycle', 'Reports', 'Agile', 'Navision', 'BC', 'BI']"
Senior Data Engineer,Schneider Electric,4,Sin informacion,Barcelona,08-12-2022,"['Flex', 'Go', 'Python', 'R', 'SQL', 'Apache', 'DynamoDB', 'Linux', 'AWS', 'GIT', 'Spark', 'Business Intelligence', 'ETL', 'IoT', 'BI']"
THE SKILL SET,EventBrite,Sin informacion,Sin informacion,Sin informacion,21-12-2022,"['Core', 'API']"
Paid Marketing Specialist,GRUPO PACHA,3,Sin informacion,Sin informacion,21-12-2022,"['Next', 'CMS']"
Data Engineering Manager,Aircall,5,Sin informacion,Madrid,08-12-2022,"['Core', 'Python', 'Scala', 'AWS', 'Agile']"
Project Controls Analyst,AECOM,6,Sin informacion,Madrid,07-01-2023,"['Reports', 'SQL', 'VBA', 'Access', 'MS Office', 'BI']"
QA Tester (mid-level),Specialty Business Solutions,Sin informacion,Sin informacion,Málaga,08-12-2022,"['Core', 'Angular', 'API', 'C', 'HTML', 'Express', 'JSON', 'React', 'TypeScript', 'R', 'SQL', 'Access', 'SQL Server', 'AWS', 'Docker']"
"Senior Technical Support Engineer, Focused Services",Palo Alto Networks,8,Sin informacion,Madrid,07-01-2023,"['R', 'Access', 'Cisco', 'Firewall', 'Juniper', 'TCP/IP', 'VPN', 'LAN', 'CheckPoint', 'Fortinet', 'Palo alto', 'VoIP']"
"Head of Sales, ServiceNow.Org EMEA",ServiceNow,Sin informacion,Sin informacion,Madrid,07-01-2023,"['C', 'Go', 'Reports', 'R', 'Access', 'CRM', 'Basis']"
Data Analyst intern,PayFit,Sin informacion,Sin informacion,Barcelona,20-12-2022,"['Core', 'Next', 'Python', 'SQL', 'Tableau']"
Junior Data Engineer,Socialpoint,1,Sin informacion,Barcelona,08-12-2022,"['MEAN', 'Android', 'iOS', 'Next', 'Python', 'SQL', 'EDGE', 'BI']"
Data Engineer,FeverUp,Sin informacion,Sin informacion,Madrid,08-12-2022,"['Core', 'API', 'Android', 'iOS', 'SQL', 'Access', 'AWS', 'ETL', 'Scrum']"
Sales Operations Analyst (Temporary position),AirDNA,1,Sin informacion,Barcelona,08-12-2022,"['Cycle', 'Next', 'Reports', 'Business Intelligence', 'CRM', 'Salesforce']"
"Senior Data Engineer, Spain",Chartboost,4,Sin informacion,Barcelona,08-12-2022,"['Core', 'C', 'Java', 'MySQL', 'Python', 'Scala', 'SQL', 'Apache', 'AWS', 'Kubernetes', 'Kafka', 'Spark']"
MS Power Apps,Randstad Spain,Sin informacion,Sin informacion,Barcelona,14-12-2022,"['R', 'SQL', 'MS Office', 'BI']"
Desktop Deployment/Packaging L2 Engineer,Talan,5,Sin informacion,Madrid,15-12-2022,"['Core', 'SQL', 'Windows', 'Blockchain', 'Agile', 'ITIL']"
Messaging system administrator,Talan,5,Sin informacion,Madrid,15-12-2022,"['Core', 'Active Directory', 'DNS', 'Firewall', 'SAN', 'LAN', 'Windows', 'Windows Server', 'Blockchain', 'Agile', 'ITIL']"
Mid / Senior Javascript Engineer,The Hotels Network,5,Sin informacion,Sin informacion,08-12-2022,"['Jest', 'Vanilla', 'Core', 'API', 'CSS', 'CSS3', 'Sass', 'Go', 'HTML5', 'JavaScript', 'TypeScript', 'Vue', 'MySQL', 'PHP', 'Redis', 'GIT', 'Kafka', 'Agile', 'Scrum']"
Business Intelligence Developer,Kodify,3,Sin informacion,Barcelona,08-12-2022,"['Core', 'MySQL', 'Reports', 'MongoDB', 'Business Intelligence', 'ETL', 'Tableau']"
"Director, Carrier Business Development, Spain",Cradlepoint,0,Sin informacion,Madrid,06-01-2023,"['C', 'Next', 'MS Office', 'WAN']"
Scrum Master,DNV,Sin informacion,Sin informacion,Barcelona,06-01-2023,"['Cycle', 'EDGE', 'Agile', 'Kanban', 'Scrum']"
Field Operations Associate,Auctree,Sin informacion,Sin informacion,Madrid,06-01-2023,[]
Field Operations Manager,Auctree,Sin informacion,Sin informacion,Madrid,06-01-2023,['CRM']
"Senior Software Engineer, Data",Aetion,5,Sin informacion,Barcelona,08-12-2022,"['Cycle', 'Core', 'API', 'Java', 'Maven', 'Spring', 'Python', 'R', 'REST', 'Scala', 'SQL', 'Apache', 'Access', 'AWS', 'Jenkins', 'Docker', 'Hadoop', 'Spark', 'ETL']"
Senior DevOps Engineer (AWS),Prodly,4,Sin informacion,Barcelona,06-01-2023,"['Access', 'AWS', 'Salesforce']"
Manager Senior Departamento Operaciones de Flota,Amazon España,Sin informacion,Sin informacion,Madrid,06-01-2023,[]
Site Reliability Engineer,Matillion,Sin informacion,Sin informacion,Madrid,08-12-2022,"['Core', 'Go', 'Java', 'Python', 'Ruby', 'Elasticsearch', 'Access', 'Cisco', 'Agile', 'Basis']"
Full Stack Developer,PREDICTIVA,5,Sin informacion,Sin informacion,08-12-2022,"['Jasmine', 'D3', 'Angular', 'API', 'C', 'CSS', 'HTML', 'Java', 'Springboot', 'JavaScript', 'Nodejs', 'React', 'Redux', 'TypeScript', 'MySQL', 'Natural', 'NoSQL', 'Python', 'Django', 'REST', 'Elasticsearch', 'MongoDB', 'EDGE', 'Docker', 'Kubernetes', 'Hadoop', 'Agile', 'Tableau']"
Data Scientist - PhD only,Launchmetrics,2,Sin informacion,Gerona,08-12-2022,"['C', 'Natural', 'Python', 'Scala', 'SQL', 'Tensorflow', 'Elasticsearch', 'AWS', 'Hadoop', 'Agile', 'Kanban', 'Scrum']"
Data Engineer - Internship,Swapcard,Sin informacion,Sin informacion,Barcelona,08-12-2022,"['Python', 'SQL', 'AWS', 'ETL', 'BI', 'Tableau']"
Business Analyst - Biotech Leader Company (80% Telework),Page Personnel Spain,3,Sin informacion,Barcelona,05-01-2023,"['UML', 'EDGE', 'IoT', 'JIRA']"
Key User Price FX-SAP SD,Page Personnel Spain,Sin informacion,Sin informacion,Barcelona,05-01-2023,['SAP']
Junior Recruiter Intern,Choco,Sin informacion,Sin informacion,Barcelona,05-01-2023,['C']
Vendor Management SDR,Choco,2,Sin informacion,Barcelona,05-01-2023,"['C', 'Next', 'CRM', 'Salesforce']"
HR Administration Intern,Choco,Sin informacion,Sin informacion,Barcelona,05-01-2023,"['Cycle', 'C', 'Switch']"
Head of Implementation Management,Choco,5,Sin informacion,Madrid,05-01-2023,"['C', 'Basis']"
Senior Machine Learning Engineer,Scaled Robotics,5,Sin informacion,Barcelona,23-12-2022,"['C', 'Next', 'Python', 'REST', 'Tensorflow', 'AWS', 'EDGE', 'ETL']"
Technical Writer,Red Points,Sin informacion,Sin informacion,Barcelona,05-01-2023,"['R', 'JIRA']"
Senior Technical Product Manager,Red Points,4,Sin informacion,Barcelona,05-01-2023,"['R', 'Agile', 'Scrum']"
"Staff QC Automation Engineer, Emerging Technologies",Zscaler,0,Sin informacion,Valencia,05-01-2023,"['Go', 'Java', 'Python', 'Linux', 'Selenium', 'EDGE', 'Unix', 'Docker', 'Kubernetes', 'Agile']"
Marketing Creative Assistant,VDB Luxury Properties,Sin informacion,Sin informacion,Barcelona,05-01-2023,"['Core', 'Adobe', 'Photoshop']"
Head of Marketing Analytics,Socialpoint,Sin informacion,Sin informacion,Barcelona,08-12-2022,"['MEAN', 'Android', 'iOS', 'Next', 'Natural', 'Python', 'SQL']"
Cloud Engineer – AWS (f/m/d),zooplus Services ESP S.L.,6,Sin informacion,Madrid,08-12-2022,"['MEAN', 'Core', 'Go', 'Python', 'REST', 'AWS', 'EDGE', 'Jenkins', 'Docker', 'Kubernetes', 'Kafka', 'Spark', 'Agile', 'Scrum']"
IT Director,Neuroelectrics,3,Sin informacion,Barcelona,21-12-2022,"['Docker', 'Agile']"
Quality Manager,GuestReady,Sin informacion,Sin informacion,Sin informacion,04-01-2023,['Basis']
Internship program: Change Manager,Nextail Labs S.L.,Sin informacion,Sin informacion,Madrid,20-12-2022,['Agile']
Senior Data Engineer (m/f/d),Oetker Digital GmbH,Sin informacion,Sin informacion,Barcelona,20-12-2022,"['Backbone', 'NoSQL', 'Python', 'SQL', 'MongoDB', 'Google Cloud Platform', 'Jenkins', 'Docker', 'Kubernetes', 'Cassandra', 'Hadoop', 'Spark', 'Agile']"
Real Estate Manager - Data Center Site Development,Meta,7,Sin informacion,Sin informacion,04-01-2023,[]
Regional VP Sales Iberia & LATAM,Denodo Technologies,0,Sin informacion,Madrid,20-12-2022,"['Go', 'Access', 'Middleware', 'CRM']"
STAGE - Data Scientist / Analytics Engineer - Madrid - F/H,M13h,Sin informacion,Sin informacion,Madrid,19-12-2022,"['C', 'Vue', 'Python', 'SQL', 'AWS', 'BI']"
Infrastructure Engineer - Network,The Workshop,6,Sin informacion,Málaga,04-01-2023,"['Hardware', 'Linux', 'Nagios', 'Cisco', 'DNS', 'VPN', 'WAN', 'LAN', 'Palo alto', 'EDGE', 'Agile']"
Accounting Manager,BDEO,5,Sin informacion,Madrid,04-01-2023,"['Go', 'Reports', 'Agile']"
Software Engineer - Launchpad,Canonical - Jobs,Sin informacion,Sin informacion,Valencia,04-01-2023,"['API', 'C', 'Python', 'Linux', 'Debian', 'Ubuntu']"
"Backend Engineer, Madrid",Thetaray,2,Sin informacion,Madrid,08-12-2022,"['Cycle', 'Java', 'Python', 'Tensorflow', 'Elasticsearch', 'Redis', 'GIT', 'Jenkins', 'Docker', 'Hadoop', 'Spark', 'Agile']"
Head Global Software Reliability Engineering,Syngenta Group,Sin informacion,Sin informacion,Madrid,08-12-2022,"['Natural', 'Access', 'AWS', 'EDGE', 'Docker', 'Agile']"
React Native Software Engineer - Mobile,Contentsquare,0,Sin informacion,Barcelona,04-01-2023,"['Core', 'Angular', 'C', 'Android', 'Cordova', 'iOS', 'Go', 'Ionic', 'Java', 'Node', 'React', 'TypeScript', 'Vue', 'Kotlin', 'Dart', 'Flutter', 'Python', 'React Native', 'Scala', 'Swift', 'AWS', 'Kafka', 'Spark']"
Strategy & Business Development Manager,Geoblink,Sin informacion,Sin informacion,Madrid,08-12-2022,"['Natural', 'Basis']"
Senior AI Engineer,WebBeds,5,Sin informacion,Sin informacion,03-01-2023,"['Core', 'API', 'Next', 'Express', 'EDGE', 'ERP']"
Business Development Manager - Revenue Insight EMEA,OTA Insight,2,Sin informacion,Madrid,03-01-2023,"['C', 'Go', 'Business Intelligence', 'Salesforce', 'Basis', 'BI']"
Data Engineer (P-099),Merlin Digital Partner,2,1.000€,Barcelona,08-12-2022,"['Python', 'REST', 'SQL', 'Linux', 'AWS', 'GIT', 'ETL', 'Agile', 'Scrum']"
Workday Systems Business Analyst,AECOM,6,Sin informacion,Barcelona,08-12-2022,"['Core', 'Access', 'Oracle', 'SharePoint', 'Cognos', 'HCM', 'Tableau']"
Information Systems - Open Source Technical Architect,Canonical - Jobs,Sin informacion,Sin informacion,Murcia,08-12-2022,"['C', 'Hardware', 'Linux', 'Debian', 'Ubuntu', 'Agile']"
Senior Luxury Sales Executive - Rental Division,VDB Luxury Properties,5,Sin informacion,Barcelona,03-01-2023,"['Go', 'Next', 'Reports', 'CMS', 'CRM']"
Data Scientist,Bunge,3,Sin informacion,Sin informacion,08-12-2022,"['Core', 'Next', 'Python', 'R', 'Hadoop', 'Spark', 'Business Intelligence', 'Agile']"
Machine Learning Engineer,Smadex SLU,5,Sin informacion,Barcelona,08-12-2022,"['Java', 'Nodejs', 'Python', 'Scala', 'SQL', 'Apache', 'Linux', 'AWS', 'EDGE', 'GIT', 'Spark', 'Tableau']"
Head of Production,Lingokids,0,400€,Madrid,08-12-2022,[]
Scala Engineer (100% Global Remote),vidIQ,Sin informacion,Sin informacion,Madrid,14-12-2022,"['Core', 'API', 'REST', 'Scala', 'DynamoDB', 'MongoDB', 'AWS', 'EDGE', 'Docker', 'Kubernetes']"
"VIE CIB Export Finance Analyst - Madrid, M/F",BNP Paribas,Sin informacion,Sin informacion,Madrid,14-12-2022,"['Core', 'Go', 'Next', 'Basis']"
Account Executive Spain (m/f/d),Contentsquare,0,Sin informacion,Madrid,03-01-2023,"['Cycle', 'Core', 'C', 'Next']"
Systems Engineer,Seedtag,5,Sin informacion,Sin informacion,08-12-2022,"['Core', 'Natural', 'Access', 'Linux', 'AWS', 'Google Cloud Platform', 'Docker', 'Kubernetes']"
