Titulo,Compañia,Experiencia,Salario,Ubicacion,Fecha,Requisitos
Media Insights Data Analyst,Element Human,3,"£35,000 ",Sin informacion,18-01-2023,"['API', 'Reports', 'Python', 'SQL', 'Access', 'Tableau']"
Engineering Paid Internship,TodayTix Group,Sin informacion,Sin informacion,Sin informacion,20-01-2023,"['Java', 'Spring', 'JavaScript', 'Next', 'JSON', 'TypeScript', 'Python', 'Access']"
Backend Developer - PHP,Digital Waffle,2,"£35,000 ",Sin informacion,06-01-2023,"['Cycle', 'Go', 'MySQL', 'PHP', 'Basis']"
Backend Engineer - Python,FIXR,Sin informacion,Sin informacion,Sin informacion,23-12-2022,"['Core', 'API', 'Next', 'Python', 'Django', 'REST', 'SQL', 'Elasticsearch', 'Redis', 'Docker', 'Kubernetes']"
Software Engineering Graduate Programme,Ocado Group,2,Sin informacion,Sin informacion,23-12-2022,"['Android', 'iOS', 'Next', 'Hardware', 'EDGE', 'IoT']"
Backend Internship,European Student Placement Agency (ESPA),Sin informacion,Sin informacion,Sin informacion,12-01-2023,"['Access', 'EDGE']"
Mid - Senior Remote Backend Engineer (Europe),WorkSpan,4,Sin informacion,Sin informacion,20-01-2023,"['C', 'Go', 'Java', 'Reports', 'Python', 'Red Hat', 'Cisco', 'VMware', 'SAP']"
Software Engineering – General Internship (12-13 months) - Starting Summer 2023,Schlumberger,0,Sin informacion,Sin informacion,23-12-2022,"['C', 'Java', 'JavaScript', 'Python', 'Shell', 'SQL', 'UML', 'Access', 'GIT']"
Junior Software Engineer (Backend),Mambo Solutions,2,Sin informacion,Sin informacion,23-12-2022,"['Core', 'Java', 'Spring', 'NoSQL', 'MongoDB', 'GIT', 'Jenkins', 'JIRA']"
Java Backend Engineer - Greenfield - Digital Private Markets,"JPMorgan Chase Bank, N.A.",Sin informacion,Sin informacion,Sin informacion,20-01-2023,"['Cycle', 'Java', 'JavaScript', 'Nodejs', 'React', 'TypeScript', 'GIT', 'Docker', 'Kubernetes', 'Agile', 'Basis']"
Python Software Engineer (Internship),Revolut,Sin informacion,Sin informacion,Sin informacion,23-12-2022,"['MEAN', 'Next', 'Python', 'SQL']"
Backend Software Engineer (Internship),Revolut,Sin informacion,Sin informacion,Sin informacion,23-12-2022,"['MEAN', 'Java', 'Next', 'Redis', 'Docker', 'Kubernetes']"
Backend Engineers (Python),QuestDB,5,Sin informacion,Sin informacion,23-12-2022,"['API', 'NextJS', 'Backbone', 'React', 'Python', 'REST', 'SQL', 'Linux', 'AWS', 'Unix', 'Docker', 'Kubernetes', 'IoT']"
Backend Engineer,Xriba,4,Sin informacion,Sin informacion,23-12-2022,"['Core', 'API', 'Express', 'Node', 'React', 'TypeScript', 'MySQL', 'REST', 'Redis', 'Google Cloud Platform', 'GIT', 'Docker', 'Kubernetes', 'CRM', 'JIRA', 'Agile', 'Scrum']"
Backend Engineer (Python),Hokodo,Sin informacion,Sin informacion,Sin informacion,23-12-2022,"['Cycle', 'API', 'Go', 'Next', 'React', 'Redux', 'Python', 'Django', 'REST', 'Access', 'AWS']"
Backend Developer,Snowfall,Sin informacion,Sin informacion,Sin informacion,23-12-2022,"['Go', 'JSON', 'Python', 'Django', 'REST', 'JIRA', 'Agile']"
