Titulo,Compañia,Experiencia,Salario,Ubicacion,Fecha,Requisitos
Programador/a Pyspark,CAS TRAINING,3,33.000 €,Teletrabajo,25-04-2023,"['Pyspark', 'Spark', 'Python', 'Maven']"
Big Data IA Developer Researcher Remote,ZYLK,Sin informacion,Sin informacion,Teletrabajo,25-04-2023,"['java', 'python', 'hadoop', 'cloudera']"
Data Engineer / 100% Remoto,arelance,2,27.000 €,Teletrabajo,25-04-2023,"['Python', 'ETL', 'data']"
Arquitecto Cloud Big Data - Teletrabajo,Krell Consulting & Training,3,45.000 €,Teletrabajo,25-04-2023,"['kafka', 'spark', 'hadoop', 'azure']"
Prácticas Big Data and Analytics (I&D),Capgemini,Sin informacion,Sin informacion,Valencia,25-04-2023,"['java', 'c', 'python', 'spark']"
Prácticas Big Data and Analytics (I&D),Capgemini,Sin informacion,Sin informacion,Murcia,25-04-2023,"['java', 'c', 'python', 'spark']"
Data Scientist (I&D),Capgemini,3,Sin informacion,Madrid,25-04-2023,"['Python', 'R', 'Machine Learning', 'Deep Learning']"
Desarrollador/a BI,Fundación Diagrama,Sin informacion,24.000 €,Murcia,25-04-2023,"['bi', 'SQL', 'Phyton', 'Metabase']"
Ingeniero desarrollo software - backend,Sayme,2,Sin informacion,Cantabria,25-04-2023,"['PHP', 'Python', 'HTML', 'Javascript']"
Data Scientist Senior,Atraeclick,1,36.000 €,Madrid,25-04-2023,"['Python', 'Anaconda', 'Pandas', 'numpy']"
Data Engineer,Michael Page,5,Sin informacion,Asturias,25-04-2023,"['Azure Data', 'Databricks', 'SQL Server']"
Analista de Datos (Power BI-DAX-SSI),Michael Page,3,39.000 €,Madrid,25-04-2023,"['Power BI', 'SQL']"
PHP-Python software engineer,HAYS,3,Sin informacion,Pontevedra,25-04-2023,"['PHP', 'Python']"
Senior Big Data Engineer,Lloyds Banking Group,Sin informacion,"£61,176 ",Sin informacion,26-03-2023,"['Python', 'Scala', 'AWS', 'Google Cloud Platform', 'Hadoop', 'Spark', 'Agile', 'Scrum']"
Software Engineer – Big Data Engineering,Lloyds Banking Group,Sin informacion,"£52,912 ",Sin informacion,14-04-2023,"['Python', 'REST', 'Scala', 'AWS', 'Google Cloud Platform', 'Hadoop', 'Spark', 'Agile', 'Scrum']"
Junior Data Analyst,Similarweb,Sin informacion,Sin informacion,Sin informacion,19-04-2023,"['Reports', 'SQL', 'Access', 'Tableau']"
Data Scientist (Mules),HSBC,Sin informacion,Sin informacion,Sin informacion,18-04-2023,"['Python', 'Access']"
Data Scientist,Data Idols,Sin informacion,"£65,000 ",Sin informacion,19-04-2023,"['SQL', 'CRM', 'Tableau']"
Data Scientist - eCommerce,HP,1,Sin informacion,Sin informacion,19-04-2023,"['Go', 'Next', 'Python']"
JUNIOR DATA SCIENTIST & ANALYST PLACEMENT - 2024 INTAKE,Medialab,3,Sin informacion,Sin informacion,26-03-2023,"['Cycle', 'Reports', 'Python', 'R', 'SQL', 'Access', 'MS Office', 'Tableau']"
Data Scientist,Mars,Sin informacion,Sin informacion,Sin informacion,26-03-2023,"['D3', 'Next', 'Python', 'R', 'Scala', 'SQL', 'Apache', 'Access', 'Hadoop', 'Kafka', 'Spark', 'Storm', 'SAP', 'SAS', 'Tableau']"
Data Scientist,SP MANWEB PLC,Sin informacion,"£35,373 ",Sin informacion,15-04-2023,"['Cycle', 'Air', 'Reports', 'Python', 'SQL']"
Data Scientist,New Look,0,Sin informacion,Sin informacion,06-04-2023,"['MySQL', 'Reports', 'Python', 'R', 'SQL', 'Tensorflow', 'Apache', 'Hadoop', 'Spark']"
Data Science Industrial Placement 2023,Marks & Spencer,Sin informacion,Sin informacion,Sin informacion,26-03-2023,"['Core', 'Access']"
Junior Data Engineer,Kroo,1,£500 ,Sin informacion,24-04-2023,"['Cycle', 'Python', 'SQL', 'Access', 'AWS']"
Data Engineer,RELX,Sin informacion,Sin informacion,Sin informacion,25-04-2023,"['Cycle', 'Go', 'Next', 'Python', 'R', 'REST', 'SQL', 'XML', 'SOAP', 'AWS', 'Docker']"
Big Data Engineering Lead,Lloyds Banking Group,Sin informacion,"£81,928 ",Sin informacion,14-04-2023,"['REST', 'Google Cloud Platform', 'Hadoop', 'Agile']"
Data Analyst,Department for International Trade,5,"£31,443 ",Sin informacion,14-04-2023,"['Express', 'R', 'Access']"
